Gene,logFC,logCPM,LR,pvalue,padj
WBGene00015569,0.882358805655415,2.1748994468787,9.52288120884657,0.00202925737319883,0.0150994619710025
WBGene00011474,0.881467606596545,8.18774223077109,47.3219612685093,6.02335765886413e-12,4.55495624064656e-10
WBGene00010453,0.880835827426411,3.84713111263762,17.4901145584739,2.8880545574226e-5,3.9768859914207e-4
WBGene00012796,0.880114150318941,3.9262941651138,20.200322343816,6.97411827942851e-6,1.1411625098586e-4
WBGene00009904,0.87911974703859,2.83805628693334,7.90965222185503,0.00491717217625639,0.031421005678109
WBGene00015988,-0.879037550281297,4.0437267843726,38.5771538327795,5.26314057005634e-10,2.58205148934216e-8
WBGene00012512,0.87889280157939,3.45373020310928,23.8620450421487,1.03492271740692e-6,2.13175390436528e-5
WBGene00021711,0.878560642904796,0.375574893937748,6.15725473616652,0.0130874174333996,0.0680341914620802
WBGene00023519,-0.878039686523337,2.70933701475947,22.5739213332316,2.02210906840298e-6,3.83346507946895e-5
WBGene00003174,0.877759163396557,1.85378789833143,21.0664389963924,4.43630404051675e-6,7.70582633941281e-5
WBGene00018168,-0.87774329174215,1.87053471062109,19.6159695843926,9.46745616386517e-6,1.5068117004988e-4
WBGene00021650,-0.877689172216665,4.46188448140333,30.6631101981064,3.06945599968379e-8,9.68045598978615e-7
WBGene00010223,-0.876990300727448,0.534947895389584,3.42587999223319,0.064182029068584,0.223023996668252
WBGene00012191,-0.876834023858195,3.3592648005131,27.1298910131472,1.90233690669775e-7,4.79967491436414e-6
WBGene00019643,-0.875988259418303,2.88560933710809,26.11005682783,3.22499890481926e-7,7.67022980186161e-6
WBGene00001391,0.875628039851401,2.52168309897592,11.452192090162,7.140971063793e-4,0.00635513923508892
WBGene00011808,-0.875114555315032,3.6858529276562,32.9919310103438,9.25421520897664e-9,3.3072342212237e-7
WBGene00008508,-0.874702581973558,4.60416807221203,34.9105822056557,3.45199587861663e-9,1.39172882440545e-7
WBGene00017672,-0.874412801462963,3.94260516146768,35.887444435497,2.09051527689956e-9,8.83145921375392e-8
WBGene00022888,-0.872626012272618,5.17467312571316,37.8812222596375,7.518543141739e-10,3.57326594626918e-8
WBGene00015141,-0.872419163476899,6.4615147635077,39.6152794125856,3.09254236741148e-10,1.60947428341995e-8
WBGene00023490,-0.872311352993228,4.8964737065368,39.5537477509857,3.1915334719023803e-10,1.64845714704392e-8
WBGene00004123,-0.872189470269863,5.56739405037937,6.48316322223769,0.0108901010423839,0.0588581472922523
WBGene00007503,-0.871986235720577,3.24170450502222,29.2687999938257,6.30019854181073e-8,1.80217278037689e-6
WBGene00015479,0.871895122221241,3.5281424470422,4.71951649904009,0.0298221274066244,0.128217559548417
WBGene00009685,-0.871694698767155,4.41417783272254,31.70332254562,1.79614651202323e-8,5.97442415147461e-7
WBGene00001570,0.871176108568269,4.78468710677769,13.6302801565705,2.225666653358e-4,0.00234533467142626
WBGene00012085,-0.870765424166925,6.00284725057337,8.86645240296902,0.00290459058370975,0.0203474484789802
WBGene00008912,-0.870554355267682,4.24278351582288,31.9416720221161,1.58872034681918e-8,5.34290165776108e-7
WBGene00044073,0.870380913376909,2.90679362894834,18.7409894641475,1.49729155528304e-5,2.2398008921242e-4
WBGene00010289,-0.870076711171332,4.88873318435405,35.5026844676229,2.54699310807391e-9,1.0516430819536e-7
WBGene00022876,-0.869100686029795,4.51690240780104,38.8175061203351,4.65335839244648e-10,2.30771170277577e-8
WBGene00017393,-0.868752520215605,2.94339575909846,25.8071923870439,3.77279948919248e-7,8.79723797963981e-6
