"","gene","TF","Hits"
"190","21ur-15622","400-LSY-2",3
"191","21ur-15622","400-MDL-1",3
"192","21ur-15622","400-MEP-1",1
"193","21ur-15622","400-NHR-10",1
"194","21ur-15622","400-NHR-102",1
"195","21ur-15622","400-NHR-11",1
"196","21ur-15622","400-NHR-116",0
"197","21ur-15622","400-NHR-237",1
"198","21ur-15622","400-NHR-25",1
"199","21ur-15622","400-NHR-28",2
"200","21ur-15622","400-NHR-48",3
"201","21ur-15622","400-NHR-6",1
"202","21ur-15622","400-NHR-76",1
"203","21ur-15622","400-NHR-77",2
"204","21ur-15622","400-PHA-4",3
"205","21ur-15622","400-PQM-1",1
"206","21ur-15622","400-R02D3.7",0
"207","21ur-15622","400-R06F6.6",0
"208","21ur-15622","400-RBR-2",1
"209","21ur-15622","400-SKN-1",1
"210","21ur-15622","400-SNPC-4",0
"211","21ur-15622","400-SPR-1",1
"212","21ur-15622","400-UNC-130",0
"213","21ur-15622","400-UNC-39",0
"214","21ur-15622","400-UNC-62",2
"215","21ur-15622","400-ZAG-1",0
"216","21ur-15622","400-ZFP-2",1
"217","21ur-15622","400-ZIP-2",1
"218","21ur-15622","400-ZK546.5",1
"219","21ur-15622","400-ZTF-11",0
"220","21ur-15622","400-ZTF-7",1
"221","21ur-15622","Total Instances of TFs binding within 1000",53
"222","21ur-15622","Total Instances of TFs binding within 400bp",53
"223","21ur-15622","Total number of TFs binding within 1000 bp of peak",50
"224","21ur-15622","Total number of TFs bound",50
"225","21ur-15671","1k-43252",0
"226","21ur-15671","1k-AHA-1",2
"227","21ur-15671","1k-C05D10.1",0
"228","21ur-15671","1k-CEH-32",0
"229","21ur-15671","1k-CEH-38",0
"230","21ur-15671","1k-CES-1",0
"231","21ur-15671","1k-CEY-2",0
"232","21ur-15671","1k-DAF-16",7
"233","21ur-15671","1k-DPL-1",1
"234","21ur-15671","1k-DUXL-1",0
"235","21ur-15671","1k-DVE-1",2
"236","21ur-15671","1k-EGL-27",0
"237","21ur-15671","1k-F10B5.3",0
"238","21ur-15671","1k-F37D6.2",0
"239","21ur-15671","1k-F45C12.2",0
"240","21ur-15671","1k-F49E8.2",1
"241","21ur-15671","1k-FKH-10",0
"242","21ur-15671","1k-FOS-1",0
"243","21ur-15671","1k-HLH-30",0
"244","21ur-15671","1k-LIN-13",1
"245","21ur-15671","1k-LIN-15B",0
"246","21ur-15671","1k-LIN-39",0
"247","21ur-15671","1k-LIR-3",1
"248","21ur-15671","1k-LSY-2",2
"249","21ur-15671","1k-MDL-1",3
"250","21ur-15671","1k-MEP-1",2
"251","21ur-15671","1k-NHR-10",0
"252","21ur-15671","1k-NHR-102",1
"253","21ur-15671","1k-NHR-11",0
"254","21ur-15671","1k-NHR-116",0
"255","21ur-15671","1k-NHR-237",0
"256","21ur-15671","1k-NHR-25",0
"257","21ur-15671","1k-NHR-28",3
"258","21ur-15671","1k-NHR-48",1
"259","21ur-15671","1k-NHR-6",0
"260","21ur-15671","1k-NHR-76",0
"261","21ur-15671","1k-NHR-77",0
"262","21ur-15671","1k-PHA-4",0
"263","21ur-15671","1k-PQM-1",0
"264","21ur-15671","1k-R02D3.7",0
"265","21ur-15671","1k-R06F6.6",0
"266","21ur-15671","1k-RBR-2",1
"267","21ur-15671","1k-SKN-1",0
"268","21ur-15671","1k-SNPC-4",1
"269","21ur-15671","1k-SPR-1",1
"270","21ur-15671","1k-UNC-130",1
"271","21ur-15671","1k-UNC-39",0
"272","21ur-15671","1k-UNC-62",0
"273","21ur-15671","1k-ZAG-1",0
"274","21ur-15671","1k-ZFP-2",0
"275","21ur-15671","1k-ZIP-2",1
"276","21ur-15671","1k-ZK546.5",0
"277","21ur-15671","1k-ZTF-11",0
"278","21ur-15671","1k-ZTF-7",1
"279","21ur-15671","400-43252",0
"280","21ur-15671","400-AHA-1",2
"281","21ur-15671","400-C05D10.1",0
"282","21ur-15671","400-CEH-32",0
"283","21ur-15671","400-CEH-38",0
"284","21ur-15671","400-CES-1",0
"285","21ur-15671","400-CEY-2",0
"286","21ur-15671","400-DAF-16",7
"287","21ur-15671","400-DPL-1",1
"288","21ur-15671","400-DUXL-1",0
"289","21ur-15671","400-DVE-1",2
"290","21ur-15671","400-EGL-27",0
"291","21ur-15671","400-F10B5.3",0
"292","21ur-15671","400-F37D6.2",0
"293","21ur-15671","400-F45C12.2",0
"294","21ur-15671","400-F49E8.2",1
"295","21ur-15671","400-FKH-10",0
"296","21ur-15671","400-FOS-1",0
"297","21ur-15671","400-HLH-30",0
"298","21ur-15671","400-LIN-13",1
"299","21ur-15671","400-LIN-15B",0
"300","21ur-15671","400-LIN-39",0
"301","21ur-15671","400-LIR-3",1
"302","21ur-15671","400-LSY-2",2
"303","21ur-15671","400-MDL-1",3
"304","21ur-15671","400-MEP-1",2
"305","21ur-15671","400-NHR-10",0
"306","21ur-15671","400-NHR-102",1
"307","21ur-15671","400-NHR-11",0
"308","21ur-15671","400-NHR-116",0
"309","21ur-15671","400-NHR-237",0
"310","21ur-15671","400-NHR-25",0
"311","21ur-15671","400-NHR-28",3
"312","21ur-15671","400-NHR-48",1
"313","21ur-15671","400-NHR-6",0
"314","21ur-15671","400-NHR-76",0
"315","21ur-15671","400-NHR-77",0
"316","21ur-15671","400-PHA-4",0
"317","21ur-15671","400-PQM-1",0
"318","21ur-15671","400-R02D3.7",0
"319","21ur-15671","400-R06F6.6",0
"320","21ur-15671","400-RBR-2",1
"321","21ur-15671","400-SKN-1",0
"322","21ur-15671","400-SNPC-4",1
"323","21ur-15671","400-SPR-1",1
"324","21ur-15671","400-UNC-130",1
"325","21ur-15671","400-UNC-39",0
"326","21ur-15671","400-UNC-62",0
"327","21ur-15671","400-ZAG-1",0
"328","21ur-15671","400-ZFP-2",0
"329","21ur-15671","400-ZIP-2",1
"330","21ur-15671","400-ZK546.5",0
"331","21ur-15671","400-ZTF-11",0
"332","21ur-15671","400-ZTF-7",1
"333","21ur-15671","Total Instances of TFs binding within 1000",33
"334","21ur-15671","Total Instances of TFs binding within 400bp",33
"335","21ur-15671","Total number of TFs binding within 1000 bp of peak",29
"336","21ur-15671","Total number of TFs bound",29
"337","21ur-278","1k-43252",0
"338","21ur-278","1k-AHA-1",2
"339","21ur-278","1k-C05D10.1",0
"340","21ur-278","1k-CEH-32",0
"341","21ur-278","1k-CEH-38",0
"342","21ur-278","1k-CES-1",0
"343","21ur-278","1k-CEY-2",0
"344","21ur-278","1k-DAF-16",7
"345","21ur-278","1k-DPL-1",1
"346","21ur-278","1k-DUXL-1",0
"347","21ur-278","1k-DVE-1",2
"348","21ur-278","1k-EGL-27",0
"349","21ur-278","1k-F10B5.3",0
"350","21ur-278","1k-F37D6.2",0
"351","21ur-278","1k-F45C12.2",0
"352","21ur-278","1k-F49E8.2",1
"353","21ur-278","1k-FKH-10",0
"354","21ur-278","1k-FOS-1",0
"355","21ur-278","1k-HLH-30",0
"356","21ur-278","1k-LIN-13",1
"357","21ur-278","1k-LIN-15B",0
"358","21ur-278","1k-LIN-39",0
"359","21ur-278","1k-LIR-3",1
"360","21ur-278","1k-LSY-2",2
"361","21ur-278","1k-MDL-1",3
"362","21ur-278","1k-MEP-1",2
"363","21ur-278","1k-NHR-10",0
"364","21ur-278","1k-NHR-102",1
"365","21ur-278","1k-NHR-11",0
"366","21ur-278","1k-NHR-116",0
"367","21ur-278","1k-NHR-237",0
"368","21ur-278","1k-NHR-25",0
"369","21ur-278","1k-NHR-28",3
"370","21ur-278","1k-NHR-48",1
"371","21ur-278","1k-NHR-6",0
"372","21ur-278","1k-NHR-76",0
"373","21ur-278","1k-NHR-77",0
"374","21ur-278","1k-PHA-4",0
"375","21ur-278","1k-PQM-1",0
"376","21ur-278","1k-R02D3.7",0
"377","21ur-278","1k-R06F6.6",0
"378","21ur-278","1k-RBR-2",1
"379","21ur-278","1k-SKN-1",0
"380","21ur-278","1k-SNPC-4",1
"381","21ur-278","1k-SPR-1",1
"382","21ur-278","1k-UNC-130",1
"383","21ur-278","1k-UNC-39",0
"384","21ur-278","1k-UNC-62",0
"385","21ur-278","1k-ZAG-1",0
"386","21ur-278","1k-ZFP-2",0
"387","21ur-278","1k-ZIP-2",1
"388","21ur-278","1k-ZK546.5",0
"389","21ur-278","1k-ZTF-11",0
"390","21ur-278","1k-ZTF-7",1
"391","21ur-278","400-43252",0
