"","logFC","logCPM","LR","PValue","FDR"
"WBGene00201333",-1.39450033233931,-4.01593743201256,0.882509048408824,0.347515391040145,0.573292632670235
"WBGene00018883",-1.3945002117193,-4.01595652491341,0.882508822025887,0.347515452878769,0.573292632670235
"WBGene00174621",-1.39449912303388,-4.01612884890321,0.882506778742179,0.34751601102157,0.573292632670235
"WBGene00046979",-1.39449738654722,-4.0164036973203,0.882503519608145,0.347516901288221,0.573292632670235
"WBGene00200791",-1.39449529218232,-4.01673516786038,0.882499588733168,0.347517975052074,0.573292632670235
"WBGene00201183",-1.39449464159605,-4.01683812976385,0.882498367647456,0.347518308606641,0.573292632670235
"WBGene00198014",-1.39449291034616,-4.01711210625014,0.882495118235179,0.34751919622565,0.573292632670235
"WBGene00219988",-1.39448654641965,-4.01811907755805,0.882483173318507,0.347522459160638,0.573292632670235
"WBGene00045391",-1.39448582667261,-4.01823294982892,0.882481822337777,0.347522828204113,0.573292632670235
"WBGene00202339",-1.39448582667261,-4.01823294982892,0.882481822337777,0.347522828204113,0.573292632670235
"WBGene00020077",-1.39448416536615,-4.0184957766994,0.882478704002434,0.347523680032733,0.573292632670235
"WBGene00171708",-1.39448405708799,-4.01851290630776,0.882478500758893,0.347523735552411,0.573292632670235
"WBGene00007897",1.39440300905825,-2.3341743581457,6.50862568877387,0.0107352445053577,0.0564803909330271
"WBGene00196132",-1.39436574897546,-4.03719105392535,0.882256333875832,0.34758443168334,0.573292632670235
"WBGene00045906",-1.3943631996248,-4.03759271005608,0.882251544408897,0.347585740327084,0.573292632670235
"WBGene00168595",-1.39436307899079,-4.0376117153709,0.882251317771484,0.347585802252227,0.573292632670235
"WBGene00201321",-1.39436302685827,-4.03761992857817,0.882251219829062,0.347585829013473,0.573292632670235
"WBGene00200242",-1.39436272353411,-4.03766771543629,0.882250649967047,0.347585984719476,0.573292632670235
"WBGene00045933",-1.39436257136372,-4.03769168876277,0.882250364080591,0.347586062833574,0.573292632670235
"WBGene00201817",-1.39436255553796,-4.03769418198858,0.882250334348297,0.34758607095747,0.573292632670235
"WBGene00171112",-1.39436228088147,-4.03773745176629,0.882249818343157,0.347586211948042,0.573292632670235
"WBGene00201902",-1.39436166615258,-4.0378342955921,0.882248663430312,0.347586527510726,0.573292632670235
"WBGene00009990",-1.39436077707367,-4.03797435672897,0.88224699307721,0.34758698391045,0.573292632670235
"WBGene00014796",-1.39436050667435,-4.03801695328305,0.882246485063515,0.347587122717975,0.573292632670235
"WBGene00199273",-1.39436044850537,-4.03802611671167,0.882246375778182,0.347587152578649,0.573292632670235
"WBGene00019558",-1.39436035109224,-4.03804146227446,0.882246192762601,0.347587202585081,0.573292632670235
"WBGene00201245",-1.39436007465522,-4.03808500933391,0.882245673403899,0.34758734449259,0.573292632670235
"WBGene00171816",-1.3943595992654,-4.03815989643456,0.88224478025827,0.347587588532338,0.573292632670235
"WBGene00200431",-1.3943595992654,-4.03815989643456,0.88224478025827,0.347587588532338,0.573292632670235
"WBGene00195061",-1.39435775653422,-4.03845016648369,0.882241318170426,0.347588534502378,0.573292632670235
"WBGene00169565",-1.39435765765443,-4.0384657416849,0.882241132395636,0.347588585262999,0.573292632670235
"WBGene00022208",-1.39435701315106,-4.03856726034205,0.882239921503176,0.347588916124352,0.573292632670235
"WBGene00200863",-1.39435615426051,-4.03870254468862,0.882238307811313,0.347589357046314,0.573292632670235
"WBGene00197809",-1.39435525645894,-4.03884395376631,0.882236621002169,0.347589817947508,0.573292632670235
"WBGene00050532",-1.39435525645894,-4.03884395376631,0.882236621002169,0.347589817947508,0.573292632670235
"WBGene00201862",-1.39435367336111,-4.03909329070399,0.88223364661637,0.347590630666231,0.573292632670235
"WBGene00201789",-1.39435367336111,-4.03909329070399,0.88223364661637,0.347590630666231,0.573292632670235
"WBGene00003279",-1.39435323817361,-4.039161830151,0.88223282896309,0.347590854081591,0.573292632670235
"WBGene00014312",-1.39435234966078,-4.03930176254141,0.882231159570105,0.347591310226682,0.573292632670235
"WBGene00022105",-1.39435234966078,-4.03930176254141,0.882231159570105,0.347591310226682,0.573292632670235
"WBGene00194984",-1.39435209039514,-4.03934259364901,0.882230672443698,0.347591443329299,0.573292632670235
"WBGene00012286",-1.39435173553528,-4.03939847908063,0.882230005706688,0.347591625508901,0.573292632670235
"WBGene00167133",-1.39435173553528,-4.03939847908063,0.882230005706688,0.347591625508901,0.573292632670235
"WBGene00197647",-1.39435135739609,-4.03945802994813,0.882229295228821,0.347591819640423,0.573292632670235
"WBGene00195547",-1.39435066251978,-4.03956745987465,0.882227989635016,0.347592176382268,0.573292632670235
"WBGene00196241",-1.39434971484201,-4.03971669716364,0.882226209045199,0.347592662913332,0.573292632670235
"WBGene00173635",-1.39434829164844,-4.03994080828196,0.882223534986416,0.347593393578947,0.573292632670235
"WBGene00006147",-1.39434769899398,-4.04003413077566,0.882222421431228,0.347593697849794,0.573292632670235
"WBGene00197477",-1.39434727555972,-4.04010080583428,0.88222162582565,0.347593915243446,0.573292632670235
"WBGene00021982",-1.39434694977125,-4.04015210468867,0.88222101368854,0.347594082505751,0.573292632670235
"WBGene00019926",-1.39434643729208,-4.04023279884782,0.882220050767732,0.347594345617536,0.573292632670235
"WBGene00014397",-1.39434643729208,-4.04023279884782,0.882220050767732,0.347594345617536,0.573292632670235
"WBGene00013282",-1.39434485486567,-4.04048195647848,0.882217077450742,0.34759515805858,0.573292632670235
