"","logFC","logCPM","LR","PValue","FDR"
"WBGene00048135",2.41322485472526,-4.01723673838552,3.56698275750124,0.058939312771875,0.210579964386593
"WBGene00235302",2.41256160959735,-3.62107886281518,6.38372335634947,0.0115171569714079,0.0658372289189207
"WBGene00017407",2.4113037639258,-2.77892872903179,11.8563973479755,0.000574636017981895,0.00653538055349164
"WBGene00022657",-2.41096994664445,0.158438369806614,88.4793151228444,5.1369237418194e-21,5.69325050333223e-19
"WBGene00021716",2.40634649069474,-3.6932396716027,3.47725878075175,0.0622177249771786,0.218809124004402
"WBGene00001104",2.40577781857164,-3.09324672236189,8.36451847550244,0.00382617993147944,0.0284624118544157
"WBGene00011462",-2.40420109183425,4.17437884830094,7.17438233084073,0.00739519044022424,0.0471948571375478
"WBGene00013451",2.40178445291633,-3.88078954133947,3.42993982615949,0.0640244340112188,0.223127801534961
"WBGene00017511",2.39885330544359,-3.52814833021633,4.94172600366726,0.0262158454170256,0.118857033502994
"WBGene00005666",2.39853535798538,-2.72570197335821,21.641627756929,3.28641329455235e-06,8.0216781806026e-05
"WBGene00197302",2.39807649103308,-3.7377022257183,3.35214048373419,0.0671176851940767,0.230880451393296
"WBGene00010320",2.39449170535007,3.30039979869722,44.83963479294,2.13849897338844e-11,1.16153590072438e-09
"WBGene00009146",-2.39224949756059,2.68617845067375,92.4473363416781,6.91403903872999e-22,8.08853926005272e-20
"WBGene00022684",2.38998945712689,-3.90118843372804,3.19808329487051,0.0737246260945896,0.24543495553197
"WBGene00019563",-2.38649417349253,2.89758028746946,111.144803347451,5.50028058167765e-26,7.68215208792988e-24
"WBGene00004171",-2.37789579036352,-2.13119877059224,14.331575283498,0.000153272364639711,0.00223420180085841
"WBGene00000972",2.37757322093438,2.18770092129932,49.0789843490905,2.45860282030541e-12,1.4727407484871e-10
"WBGene00044439",2.3764723831888,-3.89651291016869,3.14518466716471,0.0761513802911965,0.251040948394931
"WBGene00016309",2.37553874174248,-3.85319777258286,3.18724775609769,0.0742148634208734,0.246527349368573
"WBGene00005403",2.37530197662825,-2.6752945444769,19.8320763070954,8.45518297536423e-06,0.00018487271082316
"WBGene00017537",-2.37352940564768,4.57093675441128,27.7491318706471,1.38110164765986e-07,4.43231624908426e-06
"WBGene00014000",2.37320077347454,6.43956773997394,165.41584808632,7.42112174029921e-38,1.73635220205719e-35
"WBGene00014044",2.3720291458808,-3.79501693149027,2.68716291516303,0.101159785182583,0.299281218996347
"WBGene00202501",2.37186209214847,-1.89065702657031,17.8117177950331,2.43876698683098e-05,0.00046169603225794
"WBGene00004838",2.36960194833015,-3.25397591823707,11.2689329391543,0.000788150200235998,0.00837562567215079
"WBGene00003652",2.36809696988772,3.40264385788457,127.669939755549,1.32551009306607e-29,2.22612507961249e-27
"WBGene00015117",2.36718287150038,1.17829673936656,136.846064676168,1.30304950873644e-31,2.41020137173379e-29
"WBGene00021263",2.36711674618186,0.886363541797502,12.420385046403,0.00042467267115419,0.00514398866055131
"WBGene00169269",2.36648987623897,-3.97120631231373,2.84998479374581,0.0913748009925885,0.280455788448493
"WBGene00006229",2.36544271037414,-3.2809713293515,12.2535543337606,0.000464372779132117,0.00554681398544202
"WBGene00022239",2.36542653331098,-3.3570381834025,12.2496260407941,0.000465351409708398,0.00555560176221867
"WBGene00023385",2.36369967582805,-3.90014308133875,2.98482185115927,0.0840485356299035,0.267041395411863
"WBGene00013276",-2.3632387768001,-3.31404292621907,7.74002900853525,0.00540099332628402,0.037148792036941
"WBGene00220054",2.36258032978569,-3.99183081976962,2.97014714513056,0.0848141395276376,0.268623295662495
"WBGene00010801",-2.35626667982677,0.368250024910411,14.5067561381788,0.000139657771452476,0.00206655756406028
"WBGene00008477",2.35455285616373,-0.173067542950681,62.762540808748,2.33192033522386e-15,1.80839431095618e-13
"WBGene00017382",2.35210137126546,-0.309850860788709,40.5999598790759,1.86810499649567e-10,9.1320311212623e-09
"WBGene00010606",2.35093500015905,-1.9734757239319,39.1070737608839,4.01187772969616e-10,1.86777470834069e-08
"WBGene00010885",-2.34816573904448,-1.63361174742369,6.88858151802429,0.00867480790815918,0.0531615998401293
"WBGene00219671",2.34802609665262,-3.92120507394603,2.85733127520375,0.0909582913839946,0.27945939692894
"WBGene00011011",2.3478917488865,3.73456262784082,15.4762478042207,8.35485653191232e-05,0.00133128170873748
"WBGene00009854",-2.34529807650597,0.517082823577715,64.798814278528,8.29490460795457e-16,6.65903265814535e-14
"WBGene00200094",2.34390765284527,-3.99323144988277,2.70815598662278,0.0998363353758574,0.296390812375458
"WBGene00011925",2.34327734630008,-1.75164753906007,25.7238502031601,3.93928545037045e-07,1.15581928407171e-05
"WBGene00021243",2.33904292267126,-3.64421932017263,8.84080969487934,0.00294568430301746,0.0233134942530014
"WBGene00197950",-2.33859948552461,-3.99092518624663,2.09368514254842,0.147908910795256,0.379226976961706
"WBGene00044084",-2.33816528493508,-3.50766463082198,5.71389748256815,0.0168311310704421,0.0866594097297074
"WBGene00018205",-2.33782748211738,-3.83616852843617,5.70914767591825,0.0168767314886297,0.0868022179669577
"WBGene00005760",-2.33752142449793,-3.73379064811456,5.70885026840806,0.0168795909790097,0.0868022179669577
"WBGene00022725",-2.33721578417731,-1.48924879516692,21.254375729108,4.02191181968277e-06,9.64096638036917e-05
"WBGene00008468",-2.33702324933851,-3.52786292008652,5.70863675651973,0.0168816441445144,0.0868022179669577
"WBGene00005876",-2.3369779267855,-3.69281822850719,5.70684908196983,0.0168988448284259,0.0868743431320485
"WBGene00016772",-2.33696713898212,-3.06805890004705,10.4802074807353,0.00120660205056532,0.0117927640034109
"WBGene00010764",-2.33650548218247,-3.62577714911009,4.78531971674648,0.0287033187196325,0.127165131890264
"WBGene00022508",2.33625479402384,-0.123347239946182,24.2518802740525,8.45245285621976e-07,2.31617514453469e-05
"WBGene00010391",2.33596831873743,-0.360466923341659,49.0053669097662,2.5526310648373e-12,1.5224025141595e-10
"WBGene00020514",2.33544574429264,-3.97364308028549,2.68657857779999,0.101196896277568,0.29933807374961
"WBGene00022640",-2.33474315591834,-3.58540589878584,5.05772177672945,0.024516445893374,0.113018246431782
"WBGene00045922",-2.33334590943568,-3.52704970475429,4.54408546500802,0.0330326634305349,0.141292056470452
