"","logFC","logCPM","LR","PValue","FDR"
"WBGene00019706",3.30785255335067,-3.7528123714848,5.14325252248658,0.0233368868862994,0.0766496349209493
"WBGene00174824",3.30782629630287,-3.85765777282331,5.14271780036443,0.0233440755066143,0.0766496349209493
"WBGene00168130",3.30744818661149,-3.79353775432283,5.14190489440901,0.0233550083334744,0.0766496349209493
"WBGene00197563",3.3074404419137,-3.56570747984771,5.14282798710124,0.0233425940062259,0.0766496349209493
"WBGene00045209",3.30743350638816,-3.68122559390912,5.14234027024597,0.0233491522744514,0.0766496349209493
"WBGene00016578",3.30739902634186,-3.753694081595,5.14193452797746,0.0233546096963936,0.0766496349209493
"WBGene00169578",3.30739281945416,-3.89907207453878,5.14127559145288,0.0233634755170086,0.0766496349209493
"WBGene00006027",3.30738479425537,-3.81463437450635,5.14162909173218,0.0233587188283071,0.0766496349209493
"WBGene00006214",3.30735931985433,-3.75397597146616,5.14181856817261,0.0233561696526251,0.0766496349209493
"WBGene00005965",3.30732711080931,-3.6215225862817,5.1422767365498,0.0233500067448462,0.0766496349209493
"WBGene00005428",3.30710570714176,-3.69587413723977,5.1413296846161,0.023362747576015,0.0766496349209493
"WBGene00044375",3.30708604208194,-3.92376709380654,5.14027471387473,0.0233769487427862,0.0766496349209493
"WBGene00044754",3.30704884431091,-3.48257478825061,5.14201384764135,0.0233535427060793,0.0766496349209493
"WBGene00018449",3.30699170754158,-3.90282473012262,5.14009673899343,0.023379345379588,0.0766496349209493
"WBGene00044806",3.30698415099808,-3.81303094899486,5.14047570115211,0.0233742425238454,0.0766496349209493
"WBGene00044398",3.30694499874181,-3.7782432449313,5.14051379261433,0.0233737296730908,0.0766496349209493
"WBGene00046174",3.30690858086072,-3.97138705685862,5.13954132717803,0.0233868262778087,0.0766578198502675
"WBGene00198128",3.30684759306363,-3.50100254415608,5.14136093757305,0.0233623270103213,0.0766496349209493
"WBGene00010261",3.30681309695078,-3.79595106855192,5.10553935019351,0.023849562940823,0.0778909312222654
"WBGene00045193",3.3066964200641,-3.68182246289413,5.14020269504119,0.0233779185286575,0.0766496349209493
"WBGene00197587",3.30669613682343,-3.68264347158382,5.14019846458819,0.0233779754960753,0.0766496349209493
"WBGene00013585",3.30662708733582,3.91524886311905,64.7364890862287,8.56146516029352e-16,5.01863187929411e-14
"WBGene00005115",3.30660808295222,-3.92546006967035,5.13888291550377,0.023395697706926,0.076671456124044
"WBGene00010099",3.30659022974583,-3.97214134957122,5.13861608983479,0.0233992939055698,0.076671456124044
"WBGene00197097",3.30367755664377,-3.26838436809188,5.00983734132113,0.0252036752767792,0.0815159039108967
"WBGene00018019",3.30250712432705,-3.79144296723421,4.53637765499666,0.033181738058851,0.102220419177198
"WBGene00020233",3.30177801954007,-3.17858813330472,5.04918069890088,0.0246375855145515,0.0799874173933642
"WBGene00005247",3.30078436677415,-3.23204468803982,4.76462171555342,0.0290504425308266,0.0916721457384873
"WBGene00195847",-3.29975963062895,-3.91964298241219,5.03163182156554,0.0248884380129633,0.0806487915015236
"WBGene00011818",3.29822255505784,-3.83554616440186,4.32604497268432,0.0375333615785778,0.112934246341346
"WBGene00045163",3.29741975507323,-3.84158073895002,4.98671610407416,0.0255426385651923,0.0824271756126535
"WBGene00050910",3.29715552056427,-3.8360217262802,4.19021206534083,0.0406580110273569,0.119319581032793
"WBGene00010568",3.29447449571774,-0.566868128138133,37.9118414509739,7.40146355278344e-10,2.01206618428448e-08
"WBGene00005661",3.29411763191132,-3.63827018797259,4.69236037545603,0.0302970013931986,0.0948405275173025
"WBGene00009631",3.29358270880328,-3.88489239582311,4.92682553997879,0.0264428503556188,0.0847825050931207
"WBGene00007283",3.29332311586198,0.699470740370449,24.1717353977544,8.81160342291777e-07,1.26291960053599e-05
"WBGene00009855",-3.29181364029877,-0.45362333223637,66.598420814921,3.32852670607208e-16,2.02485374619385e-14
"WBGene00005472",3.29022141739291,-3.81474005819582,3.73375853239814,0.0533232786861335,0.146927504180463
"WBGene00012091",3.28694940877394,-3.42751032378352,4.22430706187304,0.0398488873554835,0.11803324944345
"WBGene00008632",3.28580195802792,-0.926752282677282,63.4967153084718,1.60634449564212e-15,9.18030909565827e-14
"WBGene00003574",-3.28522645942356,-1.79492054519349,38.6276993299225,5.12858955168577e-10,1.44142853159546e-08
"WBGene00219308",-3.28495343367863,-2.43717754828884,21.8613663302635,2.93075405036364e-06,3.63687181000474e-05
"WBGene00046538",3.2803018679031,-3.92442953701213,4.73409624195158,0.0295703802572729,0.0929699275919199
"WBGene00010886",-3.27990434652274,-2.81487270962944,14.5794405765809,0.000134372626821772,0.0010243527316196
"WBGene00012631",-3.27979807738393,0.255532092731345,91.2947069258854,1.23791324003743e-21,1.19745141152031e-19
"WBGene00017537",-3.27678062141226,4.57093675441128,49.1869877835293,2.32689132795093e-12,9.40895865622698e-11
"WBGene00018094",3.2767510570058,-3.2442245398426,12.088783686875,0.000507260550400953,0.0032010736669493
"WBGene00005469",3.27615976045883,-3.18798435258205,4.80101260190161,0.0284430149019843,0.0902128991938155
"WBGene00016847",3.27498707389144,-0.0229709657756384,40.7327862854278,1.74534130604181e-10,5.30285441208598e-09
"WBGene00044228",3.27443267769787,-3.79329319659635,4.51785279805615,0.0335429033766996,0.103045334972186
"WBGene00018971",3.27275879103397,3.91867998923349,75.3289576919092,3.98472467887075e-18,2.87057468642333e-16
"WBGene00235329",3.2692313863551,-2.8577404439238,8.18472954227607,0.00422444762856007,0.0191179126850441
"WBGene00001178",3.26667457748056,6.32933605357513,558.05188446895,2.23049356417091e-123,4.36141152279848e-120
"WBGene00206519",-3.26656958878357,-3.94085313650605,5.25302343037766,0.0219086717335849,0.0729800302636758
"WBGene00174306",-3.26452888033746,-3.93919444744776,3.90087707451078,0.0482609065257468,0.135682686262947
"WBGene00005214",3.25885690933118,-3.63109949581059,4.12588695494644,0.0422318770842727,0.1228516849379
"WBGene00001877",3.25739329766809,0.824068369529894,44.6166657189494,2.39643088757527e-11,8.38904035132647e-10
"WBGene00003764",-3.25508346259227,3.38203891668186,18.4620559475038,1.73320896490344e-05,0.000175273717821321
"WBGene00015933",3.25401992295477,6.62159595971634,312.875540532651,5.16198470186123e-70,3.21157570939662e-67
"WBGene00220143",3.25313795206944,-3.27368293510597,5.90740056751933,0.0150774041770873,0.0539927320848306
"WBGene00200266",3.24755716691861,-3.65340122904175,3.90354737388663,0.0481842657283604,0.135564673619102
"WBGene00044783",3.24699394320269,-2.30503416980145,20.5786014245406,5.72322745924739e-06,6.61068994501677e-05
"WBGene00010606",3.24394071881433,-1.9734757239319,41.878670119217,9.7116285712333e-11,3.0913468853199e-09
"WBGene00048978",-3.2402615903299,-3.85139942504034,5.4897573209662,0.0191281979434971,0.0653970798929976
"WBGene00008838",3.23907949734352,-2.25424323482006,23.7186887570875,1.11494574442972e-06,1.55563913118061e-05
"WBGene00001878",3.23902876741714,-0.968855862233427,41.4703639915761,1.19671434026236e-10,3.74829005316729e-09
